Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Basins,Age,Name,Depth,Thickness,Event,Erosion,Lithology,Petroleum system,Age,Name,Present ,Present,Event ,Erosion,Lithology,Petroleum system,Age,Name,Present Depth,Present Thickness,Event type,Erosion,Lithology,Petroleum system
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,Age,Name,Depth,Thickness,Event ,Erosion,Lithology,Petroleum system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,,,Depth,Thickness,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,0,Q+N,0,544,Deposition,,Sandstone,Overburden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,20,E1,544,0,Erosion,-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,24,P,544,139,Deposition,300,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,66,E2,683,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,72,Campanian,683,908,Deposition,100,Sandstone,Overburden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,84,E3,1591,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,91,A-Sandstone,1591,26,Deposition,100,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,94,M-Sandstone,1617,194,Deposition,,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,100,B-Sandstone,1811,380,Deposition,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,103,E4,2191,0,Erosion,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,114,UBare,2191,995,Deposition,100,Shale,Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,115,MBare,3186,125,Deposition,,Sandstone,Reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doseo,120,LBare,3311,602,Deposition,,Shale,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
